antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'Flap Discs'}),frozenset({'Abrasive Cut-Off and Chop Wheels'}),0.04823904942268923,0.0554783432097257,0.01714368623617814,0.3553902168750989,6.4059270034725335,0.014467463696195268,1.4652611262141852
frozenset({'Abrasive Cut-Off and Chop Wheels'}),frozenset({'Flap Discs'}),0.0554783432097257,0.04823904942268923,0.01714368623617814,0.30901582931865107,6.4059270034725335,0.014467463696195268,1.3773990649291163
frozenset({'Black Pipe'}),frozenset({'Black Pipe Fittings'}),0.04757468385362575,0.05766998594905003,0.03489064695460932,0.7333868378812198,12.716958844573822,0.03214701560524023,3.5344467113410096
frozenset({'Black Pipe Fittings'}),frozenset({'Black Pipe'}),0.05766998594905003,0.04757468385362575,0.03489064695460932,0.6050052966101694,12.716958844573822,0.03214701560524023,2.41123566461194
frozenset({'Linear Fluorescent Lamps'}),frozenset({'Compact Fluorescent Lamps (CFL)'}),0.03088154438267457,0.033187732909768466,0.01212658073187122,0.3926805143422354,11.83209818549112,0.011101692285057856,1.5919335537918957
frozenset({'Compact Fluorescent Lamps (CFL)'}),frozenset({'Linear Fluorescent Lamps'}),0.033187732909768466,0.03088154438267457,0.01212658073187122,0.3653934652554072,11.83209818549112,0.011101692285057856,1.5271170442758868
frozenset({'Flap Discs'}),frozenset({'Depressed Center Wheels'}),0.04823904942268923,0.04252703280591362,0.015020770969515547,0.31138198511951876,7.321977682774505,0.012969307332190753,1.3904268353482858
frozenset({'Depressed Center Wheels'}),frozenset({'Flap Discs'}),0.04252703280591362,0.04823904942268923,0.015020770969515547,0.3532052433111869,7.321977682774505,0.012969307332190753,1.471503812816503
frozenset({'Toilet Paper'}),frozenset({'Disinfectants and Sanitizers'}),0.0524543344126092,0.033225914839024984,0.011508033477915573,0.21939146891832872,6.603022670143182,0.009765190229784481,1.2384877267755943
frozenset({'Disinfectants and Sanitizers'}),frozenset({'Toilet Paper'}),0.033225914839024984,0.0524543344126092,0.011508033477915573,0.34635715927373023,6.603022670143182,0.009765190229784481,1.4496382528026504
frozenset({'Flat Washers'}),frozenset({'Hex Head Cap Screws'}),0.11697415847027919,0.10050247418901583,0.07065184189626733,0.6039952996474736,6.009755526132965,0.05889564955382625,2.27143143758204
frozenset({'Hex Head Cap Screws'}),frozenset({'Flat Washers'}),0.10050247418901583,0.11697415847027919,0.07065184189626733,0.7029860952815135,6.009755526132965,0.05889564955382625,2.97301179339285
frozenset({'Hex Nuts'}),frozenset({'Flat Washers'}),0.07886859307227076,0.11697415847027919,0.05892235322866394,0.7470952749806351,6.386840347908612,0.049696765924300175,3.491535563292096
frozenset({'Flat Washers'}),frozenset({'Hex Nuts'}),0.11697415847027919,0.07886859307227076,0.05892235322866394,0.5037211124167646,6.386840347908613,0.049696765924300175,1.8560761498709495
frozenset({'Lock Nuts'}),frozenset({'Flat Washers'}),0.046971409371372716,0.11697415847027919,0.03424919054309976,0.7291497317509348,6.233425752203186,0.02875474945972045,3.260199250449767
frozenset({'Flat Washers'}),frozenset({'Lock Nuts'}),0.11697415847027919,0.046971409371372716,0.03424919054309976,0.29279279279279274,6.2334257522031855,0.02875474945972045,1.3475945676404792
frozenset({'Lock Washers'}),frozenset({'Flat Washers'}),0.06286272832793695,0.11697415847027919,0.05026269167328487,0.7995626822157436,6.835378793675157,0.042909376927978665,4.405496198468283
frozenset({'Flat Washers'}),frozenset({'Lock Washers'}),0.11697415847027919,0.06286272832793695,0.05026269167328487,0.42969056012534274,6.835378793675156,0.042909376927978665,1.6432084166063028
frozenset({'Foam Soap'}),"frozenset({'Paper Towels, Rolls'})",0.017097867921070316,0.06558128169100129,0.011828761683670353,0.6918267083519428,10.549148941791291,0.010707461591223107,3.032121029411374
"frozenset({'Paper Towels, Rolls'})",frozenset({'Foam Soap'}),0.06558128169100129,0.017097867921070316,0.011828761683670353,0.1803679552864462,10.549148941791291,0.010707461591223107,1.1991992485145402
frozenset({'Foam Soap'}),frozenset({'Toilet Paper'}),0.017097867921070316,0.0524543344126092,0.011110941413647749,0.6498436802143814,12.388750853316884,0.010214084131973304,2.7060647260843984
frozenset({'Toilet Paper'}),frozenset({'Foam Soap'}),0.0524543344126092,0.017097867921070316,0.011110941413647749,0.21182122579705925,12.388750853316884,0.010214084131973304,1.2470548107222328
frozenset({'Galvanized Pipe Fittings'}),frozenset({'Galvanized Pipe'}),0.022214246441444194,0.018090598081739875,0.011943307471439917,0.5376418013062908,29.7194044595447,0.011541438467379029,2.1236984759704227
frozenset({'Galvanized Pipe'}),frozenset({'Galvanized Pipe Fittings'}),0.018090598081739875,0.022214246441444194,0.011943307471439917,0.6601941747572815,29.7194044595447,0.011541438467379029,2.8774837890437492
frozenset({'Hex Nuts'}),frozenset({'Hex Head Cap Screws'}),0.07886859307227076,0.10050247418901583,0.052278697538029203,0.662858249419055,6.595442099986634,0.04435220879845932,2.668009892755843
frozenset({'Hex Head Cap Screws'}),frozenset({'Hex Nuts'}),0.10050247418901583,0.07886859307227076,0.052278697538029203,0.5201732391155688,6.595442099986634,0.04435220879845932,1.9197166186185028
frozenset({'Lock Nuts'}),frozenset({'Hex Head Cap Screws'}),0.046971409371372716,0.10050247418901583,0.03187427454334413,0.6785888473418956,6.751961609081066,0.027153531685376046,2.7985884073158136
frozenset({'Hex Head Cap Screws'}),frozenset({'Lock Nuts'}),0.10050247418901583,0.046971409371372716,0.03187427454334413,0.3171491527999392,6.751961609081067,0.027153531685376046,1.395661431096402
frozenset({'Lock Washers'}),frozenset({'Hex Head Cap Screws'}),0.06286272832793695,0.10050247418901583,0.043970309731810125,0.6994655004859086,6.9596843871765595,0.037652450000580526,2.992992575778505
frozenset({'Hex Head Cap Screws'}),frozenset({'Lock Washers'}),0.10050247418901583,0.06286272832793695,0.043970309731810125,0.43750474887926444,6.95968438717656,0.037652450000580526,1.6660358817338947
frozenset({'Lock Nuts'}),frozenset({'Hex Nuts'}),0.046971409371372716,0.07886859307227076,0.023443704563504184,0.4991058364493578,6.328321794608472,0.019739135591762345,1.8389741265863233
frozenset({'Hex Nuts'}),frozenset({'Lock Nuts'}),0.07886859307227076,0.046971409371372716,0.023443704563504184,0.2972501936483346,6.328321794608472,0.019739135591762345,1.3561420892825107
frozenset({'Hex Nuts'}),frozenset({'Lock Washers'}),0.07886859307227076,0.06286272832793695,0.03757865477426844,0.47647172734314486,7.579558508143769,0.03262075983435967,1.7900413800312684
